char,word
捩,
捨,sa4
掣,siet2
掌,
描,mieu1
揀,zo`ng2
揩,
揉,
揆,kwe@i5
揍,
插,ts'a^p2
揣,
提,de3
握,
揖,e@p6
揭,iet2
揮,hui1
捶,
援,vien6
揪,
換,
摒,
揚,zu-o^ng1
搓,sai1
搾,
搞,kao`3
搪,
搭,da^p2
搽,
搬,bu-ng1
搏,vak2
搜,su-u1
搔,ts`ao`1
損,ton2
搶,
搖,ze'o`1
搗,de'o`5
撇,
摘,ts`its'2
摔,
撤,ts`iet6
摸,mo`3
摟,lua3
摺,ze@p6
摑,
摧,
摩,
摯,
摹,mo`3
撞,ts'ang3
撲,vuk6
撈,lau1
撐,
撰,so`an6
撥,
撓,n~e'o`2
撕,
撩,leu1
撒,tat2
撮,to`at2
播,va2
撫,vo5
撚,
撬,
擅,ts'e'n1
擁,
擋,
撻,
撼,
據,ko^2
擄,
擇,ts`ats'6
擂,
操,
撿,
擒,
擔,
擎,
擊,
擘,
擠,
擰,
擦,sat2
擬,ngi5
擱,gak2
擴,kwa^ng4
擲,ts`its'6
擾,n~ieu5
攆,
擺,be@i5
擻,
攀,
攏,lo`ng1
攘,n~u-o^ng3
攔,zan1
攙,so`m6
攝,n~e'p2
攜,hue3
攤,na^n6
攣,
攫,
攪,
攬,lam5
支,ts'i1
收,thu1
改,
攻,kong1
放,fo`ng2
政,ts'in~2
故,ko2
效,hieu6
敝,te6
敖,ngao`3
救,ku-u2
教,zao`2
敗,bai6
啟,
敏,me@n5
敘,tu-6
敞,
敦,don1
敢,kam2
散,tan4
敬,kin~2
敲,sao`1
敵,dits'6
敷,
數,so2
整,ts'in~4
斂,
斃,
文,va^n1
斑,
斐,fi4
斗,de@u2
料,lieu6
斜,ta3
斟,ts'e@m1
斡,
斤,ke@n1
斥,sits'6
斧,bua2
斫,
斬,ts`am4
斯,
新,te@n1
斷,
方,fu-o^ng1
於,u-1
施,thi1
旁,bang3
旅,lu-5
族,tok6
旋,to`an3
旌,tin~1
旎,
旗,ko^3
旖,
既,
日,n~e@t6
旦,dan2
早,tao`4
旨,ts'i4
旬,
旭,ho`k2
旱,han6
旺,vu-o^ng6
昔,tits'2
易,zits'6
昌,
昆,ko`n1
昂,ngang1
明,min~1
昀,
昏,hon1
春,
昭,
映,an~2
昧,muoi6
是,thi6
星,tin~1
昨,
時,thi3
晉,
晏,
晃,kwang2
晒,
晌,
晝,
晚,van5
晤,ku-5
晨,the@n3
晦,hoi4
普,fo4
晰,
晴,tan~6
晶,tin~1
景,kan~4
暑,
智,ts`i2
暗,am2
暉,
暇,ha6
